Age,Height,Weight,Foot_Length,Head_Circ,Chest_Circ,Neck_Circ,Waist_Circ,Shoulder_Breadth,Sitting_Ht,SittingKneeHt,SittingEyeHt,NavalHt,Pupils_Dist,ArmSpan,Writing Hand,Gender (1=M)
41,1776,81.5,273,583,1074,400,933,493,928,560,802,1054,69,1782,1,1
35,1702,72.6,263,568,1021,380,870,479,884,540,781,1054,62,1745,2,1
42,1735,92.9,270,573,1120,403,964,544,917,556,810,1041,67,1867,2,1
31,1655,79.4,267,576,1114,407,857,518,903,511,794,968,64,1708,1,1
21,1914,94.6,305,566,1048,398,868,524,919,666,814,1245,68,2035,1,1
39,1720,80.2,254,576,1066,395,950,502,898,537,779,1020,66,1817,1,1
32,1810,116.2,285,612,1208,461,1073,560,957,574,841,1082,70,1965,1,1
23,1850,95.4,281,551,1087,412,1010,513,952,579,829,1110,62,1939,1,1
36,1777,99.5,266,578,1181,435,1065,549,922,558,806,1033,68,1812,1,1
23,1811,70.2,278,549,964,372,824,477,932,585,820,1091,60,1918,2,1
32,1780,88.2,265,578,1117,445,994,523,969,556,845,1033,69,1840,1,1
28,1733,70.1,256,548,961,374,866,464,871,558,764,1067,61,1823,3,1
36,1814,103.7,291,580,1151,436,986,564,906,586,804,1128,67,1995,1,1
26,1861,111.6,274,606,1231,468,1045,588,966,591,848,1130,68,1956,1,1
22,1709,89.6,266,565,1060,399,1007,504,918,526,801,1012,61,1726,1,1
38,1740,92.4,278,567,1092,435,1033,537,864,575,763,1048,67,1883,1,1
26,1694,77.9,270,575,1085,402,908,501,899,535,785,1020,66,1739,1,1
34,1766,96.9,270,554,1118,411,1028,504,929,550,813,1030,66,1828,1,1
31,1748,76,266,567,999,385,874,490,915,556,797,1091,65,1749,1,1
32,1794,90.8,277,582,1127,392,999,511,969,542,848,1054,64,1850,1,1
28,1780,71.4,275,588,1000,377,837,489,949,552,832,1076,68,1846,1,1
24,1680,74.6,254,568,977,367,880,493,914,513,797,1003,61,1695,1,1
23,1653,79.2,267,573,1079,388,978,511,867,526,755,1005,65,1706,1,1
26,1959,91.5,301,575,1011,378,827,511,959,632,853,1225,71,2072,1,1
33,1755,96.5,277,600,1098,407,1030,519,945,545,833,1057,65,1809,1,1
32,1630,67.5,263,552,957,363,885,443,874,515,757,959,60,1655,1,1
30,1825,107.3,266,590,1158,414,1130,566,961,561,854,1063,70,1876,2,1
36,1795,79.3,275,575,964,365,912,480,958,559,856,1070,63,1828,1,1
25,1745,78.2,278,571,971,375,864,483,906,548,800,1048,67,1803,1,1
33,1818,88.2,271,568,1057,384,965,491,980,567,866,1083,62,1807,1,1
21,1881,71.5,262,583,957,374,777,473,983,584,859,1137,66,1898,1,1
47,1760,94.7,273,595,1108,395,1063,515,933,570,821,1041,61,1863,2,1
37,1675,66.5,269,554,947,358,870,461,880,522,780,1016,69,1749,1,1
27,1852,87.9,280,570,1043,392,966,514,933,592,821,1139,63,1941,1,1
20,1785,67.5,265,560,965,383,806,478,932,552,816,1071,59,1803,1,1
30,1791,88.4,284,578,1174,397,1096,527,927,575,808,1053,62,1894,1,1
20,1685,69.5,236,562,951,357,895,440,882,526,765,1012,65,1757,2,1
30,1850,121.8,295,577,1182,414,1214,565,959,592,851,1107,65,1908,1,1
30,1737,71.9,284,583,981,385,790,484,900,556,792,1045,66,1854,1,1
26,1743,88.1,275,605,1086,414,1002,523,931,543,808,1012,66,1769,1,1
25,1744,57.5,250,577,865,353,748,445,932,531,808,1044,64,1773,1,1
44,1679,87.6,258,563,1205,440,1043,523,857,545,748,966,64,1749,1,1
19,1836,85,293,594,1013,384,864,489,992,575,874,1099,65,1810,1,1
24,1730,86.5,269,590,1152,394,969,553,913,538,788,1048,71,1765,1,1
33,1762,95.8,272,568,1096,402,1095,534,927,567,807,1052,67,1810,1,1
21,1669,66.7,256,573,957,362,770,471,921,506,792,975,62,1724,1,1
29,1740,70.6,260,550,985,381,840,470,940,540,830,1039,62,1766,1,1
31,1709,84.7,237,583,1063,415,1028,532,918,536,805,1024,61,1766,1,1
39,1879,101.3,295,590,1137,421,1021,507,999,596,873,1114,64,1876,1,1
40,1674,85.6,255,558,1106,392,1061,510,890,521,772,949,59,1716,1,1
39,1779,109.5,287,563,1166,400,1139,551,929,572,816,1053,63,1803,1,1
35,1844,83.4,279,582,1081,397,922,531,946,593,837,1122,66,1929,1,1
35,1637,72.7,255,530,1006,398,995,474,867,506,766,964,58,1680,1,1
24,1754,98.6,268,574,1153,444,1047,524,932,552,810,1035,60,1786,1,1
31,1704,77.3,265,578,1037,394,885,495,918,528,818,985,67,1709,1,1
33,1840,140,283,595,1469,501,1379,567,954,600,840,1063,66,1993,1,1
26,1783,67.4,282,568,901,368,750,475,879,570,779,1113,65,1922,1,1
28,1748,88.4,253,582,1071,383,970,522,939,535,821,1037,66,1737,2,1
