Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.5688767,..,..,..
Albania,ALB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0.6061082,..,..,..
Algeria,DZA,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,0,..,..,..
Andorra,AND,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Angola,AGO,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Antigua and Barbuda,ATG,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Argentina,ARG,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.842928,..,..,..
Armenia,ARM,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,3.316688,..,..,..
Aruba,ABW,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Australia,AUS,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,26.63016,..,..,..
Austria,AUT,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,8.532524,..,..,..
Azerbaijan,AZE,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,1.260787,..,..,..
"Bahamas, The",BHS,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Bahrain,BHR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,8.733138,..,..,..
Bangladesh,BGD,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.374416,..,..,..
Barbados,BRB,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Belarus,BLR,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,9.87425,..,..,..
Belgium,BEL,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,22.65925,..,..,..
Belize,BLZ,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,..,..,..,..
Benin,BEN,Mobile phone used to pay bills (% age 15+),GFDD.AI.23,..,2.812087,..,..,..
